Reporter REF	Unknown:VALUE	Unknown:VALUE	Unknown:VALUE	Unknown:VALUE	Unknown:VALUE	Unknown:VALUE
A_23_P101351	-0.0888011	0.1302573453	0.0610785	0.05035340665	0.132946	-0.03287153531
A_23_P101374	-0.067929	0.03263692343	-0.0818577	0.09227111797	-0.205304	0.1687739791
A_23_P101380	-0.0608967	0.08210069145	-0.0407698	0.0309265775	-0.434728	0.04034379332
A_23_P101392	0.0131915	-0.5394295751	-0.116145	-0.470761662	0.177885	-0.3943596898
A_23_P1014	-0.13105	-0.2105374487	-0.28958	0.1134974076	0.236726	-0.001633357735
A_23_P101407	-0.197946	0.8047322531	-0.570143	1.090869495	0.245414	0.9758016477
A_23_P101427	0.013344	-0.2078156473	0.0691885	-0.07286645957	-0.17628	-0.08799980025
A_23_P101434	0.116912	0.2895280042	-0.0115108	0.03185365578	0.192107	0.07499616058
A_23_P101461	-0.105249	0.01359432424	0.326328	0.04782060613	-0.0621779	0.01237738802
A_23_P101476	0.219807	0.1404929986	0.348963	0.04478839382	0.243004	0.1439844698
A_23_P101480	0.16657	-0.3906109122	0.857454	-0.6677267131	-0.281021	-0.996216953
A_23_P101505	0.118119	-0.9672606668	0.0873468	-0.5137163451	0.131848	-0.4494353454
A_23_P101516	-0.381236	0.03250082986	-0.166873	-0.01129571526	-0.472198	0.03877597973
A_23_P101521	0.181811	-0.03570743066	-0.0597476	0.01017559146	-0.0724116	-0.01188303219
A_23_P101532	-0.0125343	0.07945879687	-0.00256581	0.2153084323	0.0171385	0.08425040692
A_23_P101551	-0.430009	-0.133642091	-0.455078	-0.2479709279	0.252869	-0.2134995326
A_23_P10156	0.142936	0.09722133658	0.0354883	-0.1377276971	-0.257975	0.02464248579
A_23_P101564	0.0742963	0.04473224888	0.0756567	-0.02966657176	-0.0573075	-0.1327138322
A_23_P101573	-0.0890921	-0.4428395025	0.220679	-0.01342726908	-0.209755	0.056985787
A_23_P101615	0.160573	0.05205597934	0.121675	-0.2296044859	-0.0842774	0.05314598457
A_23_P101623	0.189851	0.1917187621	0.501096	-0.2841503711	0.110097	-0.1934260785
A_23_P101636	0.0124062	-0.004387911164	-0.339247	0.09746731178	-0.0101441	0
A_23_P101642	-0.119838	0.1951128525	0.0885985	0.1284726992	-0.302475	0.0736594778
A_23_P101655	-0.413396	-0.1908917261	-0.0375362	0.3466277634	0.263881	0.1444157507
A_23_P101671	-0.0909533	0.02670945114	0.399125	-0.6082381606	-0.0853714	-0.7681848399
A_23_P101683	-0.204118	0.01150379526	-0.0236784	0.03537741061	-0.17696	-0.004639015667
A_23_P101699	0.197408	0.05383152753	0.196163	0.0002009988281	0.0388054	-0.03807021188
A_23_P101707	-0.146297	0.2797777499	-0.177669	0.304069605	0.197994	0.2164222723
A_23_P10172	-0.110726	0.4295769149	-0.190945	0.1814845518	0.165663	0.4236873857
A_23_P101737	-0.0863223	-0.3922745848	0.308802	-0.1206258862	0.123583	-0.2073384475
A_23_P101742	0.137814	-0.1281445002	0.146791	0.003685903634	-0.0410989	-0.2088832554
A_23_P101759	0.211021	-0.1694182793	0.545031	-0.1236974239	-0.299397	-0.2139801046
A_23_P101761	-0.0923722	-0.2861188732	-0.423076	-0.0262170029	0.30301	-0.09050249311
A_23_P101774	-0.036524	-0.09584320858	0.0308451	0.02050426852	-0.0327553	-0.006131161321
A_23_P101783	0.0514894	-0.221173408	0.0370688	-0.03740626224	-0.240988	-0.003078523349
A_23_P101796	0.0708317	-0.03696580026	-0.077367	0.003281815478	-0.154925	0.06456029689
A_23_P101806	0.0447594	-0.2308020204	0.0422147	-0.1500924332	-0.0732637	-0.107273881
A_23_P101811	0.202388	-0.03672444964	0.00047021	-0.1350214584	-0.0254437	-0.1460190975
A_23_P10182	-0.881092	-0.1019489344	-0.919368	0.02789049061	0.903164	0.115213001
A_23_P101829	0.0179679	-0.008831932284	-0.136444	0.01461528526	-0.190356	0.008179997411
A_23_P101871	-0.040273	-0.2971385583	-0.167501	0.004498270842	-0.071454	-0.07558040381
A_23_P101893	-0.0761659	-0.3408136416	0.0834993	0.01352362498	-0.113112	-0.1273105654
A_23_P101905	-0.401902	0.4319388559	0.273667	-0.06322163343	0.145079	0.1638400669
A_23_P101908	-0.335464	0.392169294	0.204893	-0.06579472097	-0.100481	0.06558253079
A_23_P10194	-0.100112	-0.4470567974	0.392916	-0.5576315867	0.0638206	-0.7945456371
A_23_P101943	0.0134181	0.0317951096	0.105211	-0.08298139727	0.0570441	-0.1021480107
A_23_P101950	0.0940637	-0.08378562046	0.0775658	-0.1822017057	-0.0301702	-0.1719045776
A_23_P101960	-0.722582	0.2615529779	-0.834296	0.7553149508	0.724236	0.1324512815
A_23_P101972	0.0603888	-0.1227892749	-0.0408124	0.0001009942563	-0.23041	0.02563937889
A_23_P101992	0.00218506	0.01031512852	-0.0392438	-0.0115634882	-0.0530458	0.3254950564
